20200208,闵行,莘庄,景观房，电梯房，精装拎包入住大三房，方便看房房主自荐,750万,3室2厅 | 132.06平米 | 东南 | 精装 | 中楼层(共16层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6b01212c-69ab-41d3-ac05-d559c5b7f65a.jpg.296x216.jpg
20200208,闵行,莘庄,中祥哥德堡 2室2厅 600万,600万,2室2厅 | 105.24平米 | 南 | 简装 | 中楼层(共20层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0c9e53ef-e5a2-431c-a146-efcac77d59ef.jpg.296x216.jpg
20200208,闵行,莘庄,近地铁  南北通透大三房，户型方正，主卧带八角阳台房主自荐,708万,3室2厅 | 145.07平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-afee50eb-32a3-4620-b390-4e4394bcb69c.png.296x216.jpg
20200208,闵行,莘庄,莘城公寓 3室2厅 620万,620万,3室2厅 | 124.2平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1ec2e78c-dece-424f-9e87-a876c5078e2f.png.296x216.jpg
20200208,闵行,莘庄,钥匙房 业主移民 只在链家卖 中间位置安静 好楼层,880万,4室2厅 | 171.1平米 | 南 | 简装 | 中楼层(共12层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4paIALl3f_1.jpg.296x216.jpg
20200208,闵行,莘庄,满五年，临河高楼层视野好，全进口装修,510万,3室2厅 | 130.8平米 | 南 北 | 精装 | 中楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xxkumHo95_1.jpg.296x216.jpg
20200208,闵行,莘庄,精装修，南北通大三房，位置近花园，房屋景观棒！房主自荐,660万,3室2厅 | 114.32平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-006e74a6-7372-4a5a-a199-7e3e8c172b11.jpg.296x216.jpg
20200208,闵行,莘庄,上海康城二期山上大三房  13米大阳台 三开间朝南,515万,3室2厅 | 140.39平米 | 南 | 毛坯 | 高楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ff7dfe63-bbf7-4eb6-a6ef-7daaea47a71a.jpg.296x216.jpg
20200208,闵行,莘庄,满五税少，位置佳，装修好，有钥匙，看房方便房主自荐,332万,2室2厅 | 89.99平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d8459717-a4c4-474b-bc4b-487230d6128e.jpg.296x216.jpg
20200208,闵行,莘庄,双南双卫，户型正气，看房方便，有钥匙房主自荐,364万,2室1厅 | 101.2平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ada855c3-fe5b-4384-b69a-c4cceba64890.jpg.296x216.jpg
20200208,闵行,莘庄,欢乐颂小区 南北两房 位置好 采光充足 看房方便房主自荐,680万,2室2厅 | 97.2平米 | 南 | 毛坯 | 17层 | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5c16a9b2-f82d-4799-807d-5c8f734f5f2d.jpg.296x216.jpg
20200208,闵行,莘庄,墅寓品质+少有房型+有钥匙看房随时+买入价高税费划算房主自荐,650万,3室2厅 | 148.99平米 | 南 | 简装 | 中楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BtHRqhSHi_1.jpg.296x216.jpg
20200208,闵行,莘庄,好位置，中楼层，视野宽阔，通风采光好，近地铁。,680万,4室2厅 | 166.4平米 | 南 北 | 简装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1UwVmBozA_1.jpg.296x216.jpg
20200208,闵行,莘庄,金城绿苑(公寓) 2室1厅 383万,383万,2室1厅 | 85.19平米 | 南 | 其他 | 低楼层(共4层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7b4vov8XF_1.jpg.296x216.jpg
20200208,闵行,莘庄,后面一排，中间位置，全明户型，满五唯一税费少,295万,2室2厅 | 67.86平米 | 南 | 简装 | 低楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/09fd2193-59b1-4b1c-be45-0e51a81be78d_1000.jpg.296x216.jpg
20200208,闵行,莘庄,万科假日风景 新上南北通两房 中间楼层 全明户型房主自荐,595万,2室2厅 | 92.01平米 | 南 | 精装 | 中楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a3fb2cd4-8d74-47d6-bff2-7557415fa387.jpg.296x216.jpg
20200208,闵行,莘庄,报春中楼三房  诚售+税少+房子干净+随时看+价格可谈房主自荐,358万,3室1厅 | 83.72平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PDlK27gDn_1.jpg.296x216.jpg
