20200208,闵行,静安新城,85%高得房率，板式南北通户型，满五唯一，可拎包入住,710万,4室2厅 | 134.6平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0c340b97-0f17-48a6-9b55-74cb4018aac8.jpg.296x216.jpg
20200208,闵行,静安新城,三年精装修，南北通透，小区中间位置，园林式小区房主自荐,810万,3室2厅 | 114.61平米 | 南 北 | 精装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8c1eea4c-8065-4eab-8122-61a5be439af5.jpg.296x216.jpg
20200208,闵行,静安新城,顶楼复式 qu明户型 带d露台 业主诚意出售,910万,4室3厅 | 168平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-90387020-40d6-4453-8896-0c97bc540147.jpg.296x216.jpg
20200208,闵行,静安新城,外销房，户型方正，3年精装拎包入住，高区电梯大一房房主自荐,465万,1室2厅 | 70.41平米 | 南 | 精装 | 中楼层(共12层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-474d205a-543e-4a5d-ac2f-52f65a2d140c.jpg.296x216.jpg
20200208,闵行,静安新城,精装大一房 中间楼层 价格便宜 房东急售,285万,1室1厅 | 49.8平米 | 东 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-460704ba-a38c-4fde-95d8-51031612f22b.jpg.296x216.jpg
20200208,闵行,静安新城,四区精装大两房 双轨交通  诚意出售 ！,440万,2室2厅 | 80.47平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cbec4919-09d5-4510-aff8-896865d764ba.jpg.296x216.jpg
20200208,闵行,静安新城,本周必卖商品房质量好，地铁9号线出门10米，双南好房,349万,2室1厅 | 66.11平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8c8b59df-cf37-4061-893e-d80741f0292a_1000.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城二区 1室1厅 295万,295万,1室1厅 | 50.07平米 | 南 | 精装 | 中楼层(共5层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NFRdPXVDi_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城五区 1室1厅 263万,263万,1室1厅 | 44.73平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fce93471-5da1-4fe7-9a6c-a5048b3fba8e.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城大一房 产权清晰 税少随时收定 诚心售,308万,1室1厅 | 56.25平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9LrB0wfWS_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城十一区 1室1厅 285万,285万,1室1厅 | 48.68平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fJWfxZb7M_1.jpg.296x216.jpg
