20200208,宝山,淞宝,永清精装两室，全明户型，链上一座城，这就是你的家,215万,2室1厅 | 56.53平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-664ed606-b3c6-42fd-9a23-6ce61a033e40.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢九村 南北两房 次顶楼 业主诚心出售 看房方便,215万,2室1厅 | 54.5平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-07aaa584-d509-4a84-9609-663f796901d0.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢八村 双南两房 视野开阔采光好,220万,2室0厅 | 51.86平米 | 东南 | 简装 | 高楼层(共6层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wZm7diUFi.jpg.296x216.jpg
20200208,宝山,淞宝,带厅2房 采光充足  南北通透 诚心出售,235万,2室1厅 | 53.67平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BXvw8xaEa.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村 2室1厅 205万,205万,2室1厅 | 50.98平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OMsuQ0Hp0.jpg.296x216.jpg
20200208,宝山,淞宝,宝林九村 1室1厅 135万,135万,1室1厅 | 38.9平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ikRWt1Fzm.jpg.296x216.jpg
20200208,宝山,淞宝,满五唯一，  双南户型，全明户型，小区中间位置，,235万,2室1厅 | 62.2平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oUeqFPner.jpg.296x216.jpg
20200208,宝山,淞宝,宝林一村，一房一厅  厨卫厅都有窗 全明格局好。,215万,1室1厅 | 44.75平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BSXQXipQP.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢六村+南北两房，采光充足，配套设施齐全，诚售,179万,2室1厅 | 50.33平米 | 南 北 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pgWrrmP8y.jpg.296x216.jpg
20200208,宝山,淞宝,此房满五年唯一 无个税 顶楼采光通风好，近地铁商场,280万,2室2厅 | 78.53平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LnYvJ2BbA_1.jpg.296x216.jpg
