20200208,闵行,老闵行,满五唯一 简单装修 诚心出售 房东置换,265万,2室2厅 | 79.73平米 | 南 | 其他 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EKxT7zEWb_1.jpg.296x216.jpg
20200208,闵行,老闵行,精装修，带空调地暖，买入价高，税少！,440万,3室1厅 | 98平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5PZ5JbLTZ_1.jpg.296x216.jpg
20200208,闵行,老闵行,又名东风小区  电梯房楼层好 诚意出售,159万,1室1厅 | 48.27平米 | 南 | 简装 | 低楼层(共18层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_8B4ubUgCL_1.jpg.296x216.jpg
20200208,闵行,老闵行,合生三期大三房 满五唯一免个税  高区  采光充足房主自荐,580万,3室2厅 | 142.69平米 | 南 | 毛坯 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-db5b38e1-9d2e-4c10-aa56-ed17c47c0264.jpg.296x216.jpg
20200208,闵行,老闵行,合生城邦三期 配套全齐 精装修  拎包入住,255万,1室1厅 | 55.8平米 | 南 | 简装 | 低楼层(共11层) | 2010年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/prod-74ef4d35-c27c-433b-b8d2-00ab43f62bbe.jpg.296x216.jpg
20200208,闵行,老闵行,南洋瑞都 ，精装大二房，房型正气，出行方便拎包入住房主自荐,430万,2室2厅 | 109.85平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c3424444-9800-48db-8882-a9aa70efcf5a.jpg.296x216.jpg
20200208,闵行,老闵行,大三房 2010年房龄 满五唯一，诚意出售房主自荐,575万,3室2厅 | 142.73平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qCMbLzKUz_1.jpg.296x216.jpg
20200208,闵行,老闵行,金榜人家两房。房东诚心置换在售。房主自荐,410万,2室2厅 | 95.78平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8e2f3a7-845e-498d-bfb4-07cb82844763.jpg.296x216.jpg
20200208,闵行,老闵行,小区位置好，楼层好，房东诚心出售。,455万,3室2厅 | 102.42平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2718ab86-2114-46be-90b4-f3e99ed7b1ed.jpg.296x216.jpg
20200208,闵行,老闵行,3房 2房的价格买3房 有大窗户 全明户型 厨卫都特大,360万,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_v5q83xvHr_1.jpg.296x216.jpg
