20200208,徐汇,上海南站,汇成一村 1室0厅 185万,185万,1室0厅 | 33.5平米 | 南 | 其他 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IlQ6Q7DJn_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成双南小两房 满五唯一，房型很正，可拎包入住,350万,2室1厅 | 63.8平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-68a9a3a8-1531-45be-9ee3-007882c4d892.jpg.296x216.jpg
20200208,徐汇,上海南站,低总价一房*两房，全南户型，采光很好,260万,1室1厅 | 57.71平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_f1hqz0izi_1.jpg.296x216.jpg
20200208,徐汇,上海南站,一梯二户+双南户型+ 满五唯一+婚房装修 +位置安静！！房主自荐,362万,2室1厅 | 67.39平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-cc7e87b2-0cd9-4867-a620-5b153785153b.png.296x216.jpg
20200208,徐汇,上海南站,两房客厅朝南客厅方正房间全明带窗视野宽阔有活水河景房主自荐,520万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-bacee1d7-74cd-4231-8aca-fc8824fa8824.png.296x216.jpg
20200208,徐汇,上海南站,光华园大两房，采光好，装修可以拎包入住的，方便看房房主自荐,720万,2室2厅 | 98.73平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-cf88dd20-b0f6-4b76-8b15-d73b56323884.png.296x216.jpg
20200208,徐汇,上海南站,采光好，视野开阔，看房方便，诚意出售,165万,1室0厅 | 29.5平米 | 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-da6b3037-a909-46a9-a855-37dbbc27b8f4.jpg.296x216.jpg
20200208,徐汇,上海南站,业主诚意出售+看房方便+采光好通风好+小区中间位置,259万,2室0厅 | 53.5平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9c53aa08-f6e4-4609-a950-8fbad60736e8.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成四村+边套大两房+全明户型，南北双阳台,330万,2室1厅 | 64.5平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0e780179-128f-4374-9326-7eeaca830ce9.jpg.296x216.jpg
20200208,徐汇,上海南站,大三房+总价低+采光好+满五不唯一,485万,3室1厅 | 87.31平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-663e803a-9030-4580-8d87-617fb50a3ccc.jpg.296x216.jpg
20200208,徐汇,上海南站,六楼南北户型通风好，动迁安置税费少,340万,2室1厅 | 60.56平米 | 南 | 其他 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-efc84a39-3ca4-4f22-af06-fd6df913b28e.jpg.296x216.jpg
20200208,徐汇,上海南站,楼园精装两房，满五商品房，采光充足,335万,2室1厅 | 64.15平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WixuZgea5_1.jpg.296x216.jpg
20200208,徐汇,上海南站,双南两房+小区环境好+业主诚心出售房主自荐,500万,2室1厅 | 61.5平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_muqy85PEU_1.jpg.296x216.jpg
20200208,徐汇,上海南站,交通便利近上海南站+出入方便+采光通风好+诚意出售。,508万,2室2厅 | 89.87平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yA70j1hqs_1.jpg.296x216.jpg
20200208,徐汇,上海南站,电梯房，南北通，全明户型，业主诚心售房，欢迎咨询,860万,2室2厅 | 110.58平米 | 南 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RSnxiPBOB_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成四村 2室1厅 318万,318万,2室1厅 | 63.7平米 | 南 北 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kawk2kON2_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成一村 2室1厅 280万,280万,2室1厅 | 52平米 | 东南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_97ZliJVD0_1.jpg.296x216.jpg
